customer_id,name,email,country
8d96de14,Customer_4082,customer_4082@example.com,India
2f794a68,Customer_5948,customer_5948@example.com,UK
97f47166,Customer_9793,customer_9793@example.com,Canada
0fbface3,Customer_8988,customer_8988@example.com,UK
afcf6a83,Customer_3324,customer_3324@example.com,Australia
bcdc134b,Customer_4145,customer_4145@example.com,UK
506cac82,Customer_2714,customer_2714@example.com,India
19d13073,Customer_6528,customer_6528@example.com,India
b38e3fb0,Customer_4568,customer_4568@example.com,Germany
c9059a44,Customer_6201,customer_6201@example.com,Australia
665dd5a0,Customer_8855,customer_8855@example.com,UK
8382b5a3,Customer_1462,customer_1462@example.com,UK
7f61e5aa,Customer_4611,customer_4611@example.com,Australia
fae29598,Customer_2286,customer_2286@example.com,USA
18652683,Customer_6714,customer_6714@example.com,Australia
1fd13b5f,Customer_4260,customer_4260@example.com,Canada
97267526,Customer_3094,customer_3094@example.com,Germany
cbefba5e,Customer_1368,customer_1368@example.com,UK
09b654e7,Customer_2220,customer_2220@example.com,UK
ea512d99,Customer_4960,customer_4960@example.com,Australia
ada03edb,Customer_9479,customer_9479@example.com,USA
e684e37c,Customer_9588,customer_9588@example.com,Germany
72651719,Customer_6942,customer_6942@example.com,Australia
4bb8b20d,Customer_4289,customer_4289@example.com,Australia
38ee956c,Customer_7319,customer_7319@example.com,UK
803c4dc5,Customer_6228,customer_6228@example.com,USA
2b019749,Customer_1168,customer_1168@example.com,Germany
3a0d8a58,Customer_4222,customer_4222@example.com,USA
243fb855,Customer_7841,customer_7841@example.com,Canada
99b19623,Customer_9014,customer_9014@example.com,Germany
5c9dbfc4,Customer_8154,customer_8154@example.com,Australia
864cf4ee,Customer_6264,customer_6264@example.com,Germany
8ec57c9e,Customer_5474,customer_5474@example.com,Germany
d12a0d03,Customer_2698,customer_2698@example.com,Canada
280a5fb4,Customer_2604,customer_2604@example.com,USA
9f1751d2,Customer_8348,customer_8348@example.com,Australia
6b3682ba,Customer_2160,customer_2160@example.com,USA
a767a4af,Customer_7271,customer_7271@example.com,Germany
1e6b7cca,Customer_1321,customer_1321@example.com,Canada
de37ed8a,Customer_9471,customer_9471@example.com,Germany
a31627b3,Customer_4527,customer_4527@example.com,USA
627891d0,Customer_1097,customer_1097@example.com,Canada
22daea93,Customer_3210,customer_3210@example.com,UK
57615320,Customer_4881,customer_4881@example.com,Australia
b96d4244,Customer_3445,customer_3445@example.com,USA
47f1d85c,Customer_6369,customer_6369@example.com,USA
8c52c9b5,Customer_9179,customer_9179@example.com,India
cc60f4d7,Customer_8201,customer_8201@example.com,India
be02e41a,Customer_9873,customer_9873@example.com,Australia
4c808755,Customer_9368,customer_9368@example.com,Canada
0495fb21,Customer_5011,customer_5011@example.com,USA
06b20dba,Customer_9665,customer_9665@example.com,Germany
532b8d01,Customer_5051,customer_5051@example.com,UK
c835380a,Customer_7926,customer_7926@example.com,Canada
5dc89bfb,Customer_2928,customer_2928@example.com,Australia
3ca69944,Customer_2370,customer_2370@example.com,USA
47485f82,Customer_9670,customer_9670@example.com,Australia
52b66eed,Customer_8414,customer_8414@example.com,UK
3ee16925,Customer_1725,customer_1725@example.com,Canada
24b8605b,Customer_6220,customer_6220@example.com,Australia
0cc1ecdf,Customer_5549,customer_5549@example.com,India
46a0f0f3,Customer_9784,customer_9784@example.com,Germany
c97750dc,Customer_5800,customer_5800@example.com,USA
1171b615,Customer_5654,customer_5654@example.com,USA
628d227d,Customer_5503,customer_5503@example.com,India
011e8df1,Customer_5438,customer_5438@example.com,UK
3c668689,Customer_3058,customer_3058@example.com,Australia
fabaf18f,Customer_5702,customer_5702@example.com,USA
f37ae559,Customer_1052,customer_1052@example.com,USA
93e20731,Customer_6839,customer_6839@example.com,India
309584ae,Customer_8554,customer_8554@example.com,Germany
fc31b079,Customer_9180,customer_9180@example.com,UK
547b140c,Customer_2197,customer_2197@example.com,UK
44edf7e0,Customer_1744,customer_1744@example.com,India
1e24b614,Customer_2668,customer_2668@example.com,Germany
af69e57f,Customer_6173,customer_6173@example.com,Australia
0649cb11,Customer_7323,customer_7323@example.com,Germany
20019830,Customer_8245,customer_8245@example.com,India
9f510b2a,Customer_4681,customer_4681@example.com,UK
56295e8a,Customer_4901,customer_4901@example.com,India
b516b950,Customer_2159,customer_2159@example.com,Germany
adbbc23f,Customer_2997,customer_2997@example.com,USA
290c4e32,Customer_5700,customer_5700@example.com,India
3c0f9f65,Customer_9678,customer_9678@example.com,UK
a839572f,Customer_7067,customer_7067@example.com,Australia
47a8dcf2,Customer_4183,customer_4183@example.com,USA
214c69a0,Customer_4672,customer_4672@example.com,Canada
2633fee4,Customer_1173,customer_1173@example.com,USA
